combo_id,sexuality_content,sexuality_includes,sexual_activity_frequency,sexual_scene_duration,sexual_depiction_type,sexual_underage,suggestive_themes_description,dating_games_prominent,revealing_outfits_nudity_includes,revealing_outfits_frequency,revealing_outfits_erotic_context,revealing_outfits_out_of_place,nudity_includes,nudity_human_buttocks_frequency,nudity_nippleless_breasts_frequency,nudity_fantasy_breasts_frequency,nudity_human_breasts_with_nipples_frequency,nudity_genitalia_frequency,nudity_erotic_context,sexual_violence_presentation,summary,country,rating
40,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,"['Obscured/Innuendo - Sex act is either entirely off-camera or completely blocked from view', 'Shown with No Nudity - Characters are depicted in a sexual act but no nudity is shown']",No,,,,,,,,,,,,,,,Rare sexual activity | Prolonged sexual activity | Obscured/Innuendo - sex act is either entirely off-camera or completely blocked from view | Shown with no nudity - characters are depicted in sexual act but no nudity is shown,North America,Mature 17+
41,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,"['Obscured/Innuendo - Sex act is either entirely off-camera or completely blocked from view', 'Shown with Partial Nudity - Breasts, Buttocks']",Yes,,,,,,,,,,,,,,,"Rare sexual activity | Prolonged sexual activity | Obscured/Innuendo - sex act is either entirely off-camera or completely blocked from view | Shown with partial nudity - breasts, buttocks | Features characters that appear to be younger than 18",North America,Adults only 18+
42,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,"['Obscured/Innuendo - Sex act is either entirely off-camera or completely blocked from view', 'Shown with Partial Nudity - Breasts, Buttocks']",No,,,,,,,,,,,,,,,"Rare sexual activity | Prolonged sexual activity | Obscured/Innuendo - sex act is either entirely off-camera or completely blocked from view | Shown with partial nudity - breasts, buttocks",North America,Mature 17+
43,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,"['Obscured/Innuendo - Sex act is either entirely off-camera or completely blocked from view', 'Shown with Full Frontal Nudity']",Yes,,,,,,,,,,,,,,,Rare sexual activity | Prolonged sexual activity | Obscured/Innuendo - sex act is either entirely off-camera or completely blocked from view | Shown with full frontal nudity | Features characters that appear to be younger than 18,North America,Adults only 18+
44,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,"['Obscured/Innuendo - Sex act is either entirely off-camera or completely blocked from view', 'Shown with Full Frontal Nudity']",No,,,,,,,,,,,,,,,Rare sexual activity | Prolonged sexual activity | Obscured/Innuendo - sex act is either entirely off-camera or completely blocked from view | Shown with full frontal nudity,North America,Adults only 18+
45,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,"['Shown with No Nudity - Characters are depicted in a sexual act but no nudity is shown', 'Shown with Partial Nudity - Breasts, Buttocks']",Yes,,,,,,,,,,,,,,,"Rare sexual activity | Prolonged sexual activity | Shown with no nudity - characters are depicted in sexual act but no nudity is shown | Shown with partial nudity - breasts, buttocks | Features characters that appear to be younger than 18",North America,Adults only 18+
46,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,"['Shown with No Nudity - Characters are depicted in a sexual act but no nudity is shown', 'Shown with Partial Nudity - Breasts, Buttocks']",No,,,,,,,,,,,,,,,"Rare sexual activity | Prolonged sexual activity | Shown with no nudity - characters are depicted in sexual act but no nudity is shown | Shown with partial nudity - breasts, buttocks",North America,Mature 17+
47,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,"['Shown with No Nudity - Characters are depicted in a sexual act but no nudity is shown', 'Shown with Full Frontal Nudity']",Yes,,,,,,,,,,,,,,,Game contains violence against humans,North America,Teen
48,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,"['Shown with No Nudity - Characters are depicted in a sexual act but no nudity is shown', 'Shown with Full Frontal Nudity']",No,,,,,,,,,,,,,,,Game contains violence against humans,North America,Teen
49,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,"['Shown with Partial Nudity - Breasts, Buttocks', 'Shown with Full Frontal Nudity']",Yes,,,,,,,,,,,,,,,"Rare sexual activity | Prolonged sexual activity | Shown with partial nudity - breasts, buttocks | Shown with full frontal nudity | Features characters that appear to be younger than 18",North America,Adults only 18+
